key,label
253184003,Chiari malformation
47704002,Blepharochalasis
79161002,Ocular dysmetria
278528006,Facial swelling
711168000,Ulcer of skin of lower extremity
248021000,Attention seeking behavior
289477004,Mass of vulva
116314006,Finding of knee region
14852000,Myringitis
4522001,Dental plaque
274858002,Abnormal glucose tolerance test
766834007,Secondary cataract
405720007,Allergic bronchitis
78250005,Ectopia cordis
94634005,Secondary malignant neoplasm of thyroid gland
49578007,Shortened PR interval
300893006,Nutritional finding
82729001,Caput succedaneum
267811000,Disorder of hair shaft
94481001,Secondary malignant neoplasm of penis
195199008,Vertebrobasilar artery syndrome
312148000,Fungal ear infection
110981005,Focal cutaneous mucinosis
29524003,Atrophy of prostate
26045000,Chronic allergic conjunctivitis
76257003,Bicuspid cardiac valve
126965008,Neoplasm of meninges
363415003,Malignant tumor of biliary tract
733386005,Injury of urinary organ
247420009,Sexual function painful
58283004,Narrow pulse pressure
277545003,T-cell chronic lymphocytic leukemia
42942008,Compression fracture of vertebral column
234646005,Graft versus host disease
365424005,Sperm motility - finding
28314004,"Asphyxia, in liveborn infant"
95486002,Congenital blindness
387742006,Amblyopia
246867008,Lacrimal sac finding
236037000,Incisional hernia
62718007,Dribbling from mouth
89555002,Cardiac edema
11731003,Neck webbing
105654000,Disease due to Cryptosporidiidae
359649009,Weight reduction diet
393564001,Glioma
95912003,Decreased drug tolerance
241987007,Barotrauma of ascent
63144007,Vulvitis
65457005,Endocardial fibroelastosis
397181002,Open fracture
90739004,Thyrotoxicosis
23890000,Calcaneal apophysitis
162315007,Morbid thoughts
30057005,Polioencephalopathy
248516005,Lid margin cyst
49263001,Spermatocele
235602008,Fungal esophagitis
55827005,Left ventricular hypertrophy
94503003,Secondary malignant neoplasm of prostate
60750009,Third cranial nerve disease
253098009,Neural tube defect
196903009,Obstructed diaphragmatic hernia
111379007,Mineral deficiency
78314001,Osteogenesis imperfecta
385356007,Tumor stage finding
254649008,Epithelial neoplasm of skin
3327002,Jerk nystagmus
58694006,Teratogenesis
398033008,Death of relative
403759001,Autosomal chromosomal disorder
234205007,Arteriovenous fistula thrombosis
23462007,Vulvovaginal disease
301911000,Finding of moistness of eye
125602001,Injury of lower leg
51611005,Chronic urticaria
95355007,Mucous membrane hyperplasia
111374002,Pseudocyst of pancreas
50299009,Paraphilia
252986008,Tumor embolus
289545004,Finding of consistency of vaginal discharge
51634001,Congenital malaria
68496003,Polyp of colon
22653005,Myocarditis due to infectious agent
7930004,Necrosis of artery
12026006,Paroxysmal tachycardia
33339001,Psoriasis with arthropathy
271770005,Splinter hemorrhages under nail
79823003,Panic
165839004,Rheumatoid factor positive
60853003,Disorder of magnesium metabolism
268239009,Congenital abnormality of skull and face bones
300307005,Finding of appendix
81950002,Edema of the tongue
416402001,Gestational trophoblastic disease
4260009,Sacral spinal cord injury without bone injury
34614007,Miscarriage with complication
92537005,Carcinoma in situ of anus
47481007,Achlorhydria
51577008,Wilson-Mikity syndrome
27001009,Seminal vesiculitis
238158000,Hyperoxia
234062003,Pulmonary vein stenosis
403833009,TNF receptor-associated periodic fever syndrome (TRAPS)
27034006,Fertility problem
86569001,Postpartum state
239057002,Cutaneous syndrome with ichthyosis
165569003,Prothrombin time low
735912006,Injury due to procedure
201220003,Occupational acne
11296007,Stenosis of trachea
46049004,Reticulocytosis
398838000,Senile hyperkeratosis
31054009,Ureteric stone
88052002,Mutism
289486009,Hyperkeratosis of vulva
312133006,Viral respiratory infection
816995008,Rough skin
307811009,Stool sample culture negative
66978005,Hypermagnesemia
4069002,Anoxic brain damage during AND/OR resulting from a procedure
699063001,Injury of hip and thigh
64162006,Multiple malformation syndrome with unusual brain and/or neuromuscular findings
165543009,Immature white blood cells
300358007,Functional finding of gastrointestinal tract
3253007,Discoloration of skin
274713001,Pulmonary function studies abnormal
278849000,Cerebral atrophy
234102003,Lipedema
31529002,Thrombosis of arteries of upper extremity
14582003,Microstomia
22774003,Hypokalemic alkalosis
235766003,Ulceration of large intestine
92406008,Benign neoplasm of spinal meninges
363089008,Disorder of fetal nutrition
37445006,Cinchonism
247010007,Pupil finding
267254000,Fetus with viral damage via mother
201307004,Scar conditions and fibrosis of skin
254878006,Endometrial carcinoma
233931008,Athlete's heart
80544005,Spongy degeneration of central nervous system
285344007,Viral gastritis
233618000,Mycobacterial pneumonia
72352009,Bicuspid aortic valve
226097005,High fat diet
405810005,Cogan's syndrome
30085007,Morton's metatarsalgia
422773005,Hemodynamic instability
253578007,Congenital abnormality of arterial valves
33653009,Absence of sensation
64586002,Carotid artery stenosis
254837009,Malignant tumor of breast
253002004,Carcinoid tumor of appendix
398197009,Congenital choledochal cyst
39400004,Injury of liver
13446000,Coprolalia
106151004,Finding of sense of smell
201723002,Diabetic hand syndrome
299989006,Infection of toe
95519003,Gastrointestinal mucosal necrosis
398623004,Refractory anemia with excess blasts (clinical)
197919005,Stenosis of urinary meatus
247713003,Heightened auditory perception
44532001,Effects of air pressure
110987009,Pterygium of nail
203465002,Bone cyst
439470001,Arteriovenous fistula
249279003,Must strain to pass urine
28574005,Congenital anomaly of coronary artery
486006,Acute vascular insufficiency
162046002,Central abdominal pain
233780008,Acquired tracheal fistula
418286009,Abnormal development of female secondary sexual characteristics
186803007,Visceral leishmaniasis
79787007,Disorder of lower gastrointestinal tract
17532001,Breech malpresentation successfully converted to cephalic presentation
187801002,Malignant tumor of peritoneum and retroperitoneum
253693001,Congenital abnormalities of thoracic aortic branches
188744006,Monocytic leukemia
442696006,Influenza due to Influenza A virus subtype H1N1
78152008,Multiple cranial nerve palsy
414024009,Disorder of coronary artery
129565002,Disorder of muscle
128187005,Vascular headache
286904004,Benign genital neoplasm
