key,found,label,first_level,parents
415531008,1,Skin AND/OR mucosa finding,Clinical finding,404684003
278528006,1,Facial swelling,Clinical finding,"301310005,445385004"
248021000,1,Attention seeking behavior,Clinical finding,844005
735445000,1,Allergic disorder of respiratory tract,Clinical finding,"421092003,735446004"
92373002,1,Benign neoplasm of skin of perineum,Clinical finding,"126513000,92380000,92397006"
22741003,1,Noninflammatory disorder of the vagina,Clinical finding,"2526004,25658005"
4522001,1,Dental plaque,Clinical finding,6288001
274858002,1,Abnormal glucose tolerance test,Clinical finding,102660008
78250005,1,Ectopia cordis,Clinical finding,13213009
94634005,1,Secondary malignant neoplasm of thyroid gland,Clinical finding,"363478007,94280003,94441008"
49578007,1,Shortened PR interval,Clinical finding,"102594003,365411005"
283050005,1,Abrasion of eye region,Clinical finding,"13616008,262750000,283049005"
399999000,1,Keratinizing cyst,Clinical finding,441457006
199295003,1,"Disease of skin and subcutaneous tissue complicating pregnancy, childbirth and/or puerperium",Clinical finding,"198609003,80659006"
195199008,1,Vertebrobasilar artery syndrome,Clinical finding,"118254002,195374003,473449006,486006"
312148000,1,Fungal ear infection,Clinical finding,"129127001,3218000"
416383008,1,Abnormal affect,Clinical finding,106131003
29524003,1,Atrophy of prostate,Clinical finding,"30281009,362975008"
13140001,1,Burn of gastrointestinal tract,Clinical finding,"125666000,47771009"
277545003,1,T-cell chronic lymphocytic leukemia,Clinical finding,"277642008,92814006"
75006000,1,Echinococcus granulosus infection,Clinical finding,74942003
115966001,1,Occupational disorder,Clinical finding,8504008
95486002,1,Congenital blindness,Clinical finding,"105597003,127329003"
300286002,1,Lesion of esophagus,Clinical finding,300284004
419070004,1,Finding of secondary sexual characteristics,Clinical finding,404684003
128254003,1,Respiratory auscultation finding,Clinical finding,"106051002,118241009"
365822004,1,Urate level - finding,Clinical finding,785671009
62718007,1,Dribbling from mouth,Clinical finding,300267005
118227000,1,Vital signs finding,Clinical finding,82832008
238846003,1,Collagen and elastic tissue disorders affecting skin,Clinical finding,95320005
89555002,1,Cardiac edema,Clinical finding,118654009
11731003,1,Neck webbing,Clinical finding,"199879009,298397000,399893000,40052002,95324001"
785875003,1,Disorder of joint region,Clinical finding,64572001
95912003,1,Decreased drug tolerance,Clinical finding,88320008
63144007,1,Vulvitis,Clinical finding,"289479001,442506007,5089007"
126845000,1,Neoplasm of sigmoid colon,Clinical finding,"126644004,126838000"
397181002,1,Open fracture,Clinical finding,125643001
450429004,1,Perinatal hemorrhage,Clinical finding,"111467008,415073005"
724861006,1,Dermatosis of external genitalia,Clinical finding,"300479008,362968007,737247007"
235602008,1,Fungal esophagitis,Clinical finding,"235600000,312153005"
94503003,1,Secondary malignant neoplasm of prostate,Clinical finding,"399068003,94348003,94402006,94480000"
196903009,1,Obstructed diaphragmatic hernia,Clinical finding,"249561001,39839004"
2556008,1,Periodontal disease,Clinical finding,266418006
299729001,1,Finding of meninges,Clinical finding,246556002
443089001,1,Pseudoaneurysm,Clinical finding,49601007
449020009,1,Intraparenchymal hemorrhage of brain,Clinical finding,274100004
398033008,1,Death of relative,Event,419620001
23462007,1,Vulvovaginal disease,Clinical finding,"25658005,5089007"
248742008,1,Trunk varices,Clinical finding,"128060009,128121009"
410747005,1,Subcutaneous tissue finding,Clinical finding,"106077005,248402002"
95355007,1,Mucous membrane hyperplasia,Clinical finding,128145008
128123007,1,Disorder of peripheral autonomic nervous system,Clinical finding,"15241006,42658009"
50299009,1,Paraphilia,Clinical finding,"300545005,56627002"
238715009,1,Developmental abnormality of nail,Clinical finding,"17790008,5294002"
22053006,1,Klinefelter syndrome,Clinical finding,"111312006,254284003"
7930004,1,Necrosis of artery,Clinical finding,"239953001,609410002,63043004"
12026006,1,Paroxysmal tachycardia,Clinical finding,"127337006,6285003"
79823003,1,Panic,Clinical finding,48694002
165839004,1,Rheumatoid factor positive,Clinical finding,365600008
268239009,1,Congenital abnormality of skull and face bones,Clinical finding,"8447006,87290003"
118948005,1,Disorder of abdomen,Clinical finding,"609624008,822988000"
278692007,1,Aspiration into lower respiratory tract,Clinical finding,"301226008,413585005"
450724008,1,Injury of cervical region of back,Clinical finding,"712893003,90460009"
4260009,1,Sacral spinal cord injury without bone injury,Clinical finding,"12820001,239953001,26738009,280133005,282026002,282766005,282771003"
92537005,1,Carcinoma in situ of anus,Clinical finding,"126849006,92600008"
301433005,1,Aneurysm of artery of trunk,Clinical finding,"128121009,233981004"
47481007,1,Achlorhydria,Clinical finding,55961006
51577008,1,Wilson-Mikity syndrome,Clinical finding,"19829001,20322005"
27001009,1,Seminal vesiculitis,Clinical finding,"128478005,86285007"
238158000,1,Hyperoxia,Clinical finding,238157005
234062003,1,Pulmonary vein stenosis,Clinical finding,"234059001,304522008,39785005"
403833009,1,TNF receptor-associated periodic fever syndrome (TRAPS),Clinical finding,402790006
254968009,1,Tumor of hypothalamus,Clinical finding,"126953009,237713000,399100005"
66978005,1,Hypermagnesemia,Clinical finding,420200001
441975003,1,Mass of tongue,Clinical finding,"300246005,300854002,444905003"
724599009,1,Small vessel vasculitis,Clinical finding,31996006
403276003,1,Acquired hypomelanosis of uncertain etiology,Clinical finding,"398656003,41969006"
5964004,1,Disorder of rectum,Clinical finding,"119523007,249597005,426867001,609620004"
127009005,1,Disorder of endocrine receptor,Clinical finding,362969004
733217006,1,Injury of intrathoracic organ,Clinical finding,"105612003,262525000"
286753008,1,Character trait finding of impulse control,Clinical finding,67331009
14582003,1,Microstomia,Clinical finding,128334002
22774003,1,Hypokalemic alkalosis,Clinical finding,"1388004,43339004"
235766003,1,Ulceration of large intestine,Clinical finding,"119523007,85942002"
92406008,1,Benign neoplasm of spinal meninges,Clinical finding,"109913001,126964007,92405007"
274891006,1,Finding of abnormal level of heavy metals in blood,Clinical finding,"442096005,785671009"
233931008,1,Athlete's heart,Clinical finding,56265001
363168001,1,Inflammation of skin and/or subcutaneous tissue,Clinical finding,"363171009,80659006"
68256003,1,Increased glucose level,Clinical finding,"102660008,123995008"
80544005,1,Spongy degeneration of central nervous system,Clinical finding,"237911005,80690008"
445088006,1,Edema of face,Clinical finding,"267038008,301310005"
285344007,1,Viral gastritis,Clinical finding,"235655002,312131008"
709493000,1,Digestive system reflux,Clinical finding,386617003
72352009,1,Bicuspid aortic valve,Clinical finding,"253609009,76257003"
125600009,1,Injury of hip region,Clinical finding,"118935006,127279002,48125009"
721781004,1,Infection caused by Lymphocytic choriomeningitis virus,Clinical finding,3303004
422773005,1,Hemodynamic instability,Clinical finding,106063007
373621006,1,Chronic pain syndrome,Clinical finding,"27624003,82423001"
123765007,1,Aldosterone disorder,Clinical finding,30171000
33653009,1,Absence of sensation,Clinical finding,"118228005,271712005"
64586002,1,Carotid artery stenosis,Clinical finding,"1055001,371160000"
254837009,1,Malignant tumor of breast,Clinical finding,"126926005,188361007"
253002004,1,Carcinoid tumor of appendix,Clinical finding,"276819005,725167001"
398197009,1,Congenital choledochal cyst,Clinical finding,"1155727009,440471007"
95519003,1,Gastrointestinal mucosal necrosis,Clinical finding,"128068002,276320009,47771009,609410002"
398623004,1,Refractory anemia with excess blasts (clinical),Clinical finding,"109995007,271737000,93720005"
197919005,1,Stenosis of urinary meatus,Clinical finding,"236647003,249302009"
128287004,1,Chronic peptic ulcer,Clinical finding,"128284006,13200003"
312607004,1,Gastrointestinal tract vascular insufficiency,Clinical finding,"47771009,48125009,57662003,86341008"
443679004,1,Malignant neoplasm of skeletal system,Clinical finding,"363346000,442868003"
44532001,1,Effects of air pressure,Clinical finding,400209005
253428008,1,Abnormality of common atrioventricular valve in atrioventricular septal defect,Clinical finding,253427003
282100009,1,Adverse reaction to substance,Clinical finding,281647001
105972009,1,Disorder of maxillary sinus,Clinical finding,"249370002,7393007"
57246001,1,Chronic gastric ulcer with hemorrhage,Clinical finding,"128292002,15902003,49232000,95530000"
28574005,1,Congenital anomaly of coronary artery,Clinical finding,"13213009,253693001,414024009"
43123004,1,Hypermethioninemia,Clinical finding,28882002
129139009,1,Disorder of lumbar spine,Clinical finding,"116306000,399986003,410730009,822988000"
188744006,1,Monocytic leukemia,Clinical finding,"127070008,93143009"
442696006,1,Influenza due to Influenza A virus subtype H1N1,Clinical finding,442438000
78152008,1,Multiple cranial nerve palsy,Clinical finding,73013002
414024009,1,Disorder of coronary artery,Clinical finding,"251015000,359557001,56265001"
129565002,1,Disorder of muscle,Clinical finding,"106030000,64572001"
363037003,1,Congenital anomaly of upper trunk,Clinical finding,"609622007,78626001"
18973006,1,Uterovaginal prolapse,Clinical finding,"24976005,25658005,63339007"
29426003,1,Paralytic syndrome,Clinical finding,118940003
283378004,1,Laceration of abdomen,Clinical finding,"283375001,733371004"
21234008,1,Congenital stenosis of aorta,Clinical finding,"59877000,726490008"
363463000,1,Malignant tumor of conjunctiva,Clinical finding,"126996004,363461003,448669004"
64455005,1,Fracture of acetabulum,Clinical finding,"125610000,298149009,428097001,700009007,700097003,77493009"
95388000,1,Injection site pain,Clinical finding,"279001004,95376002"
13468005,1,Sensitive dentin,Clinical finding,46557008
58524006,1,Acute pulmonary histoplasmosis,Clinical finding,"187054003,195742007,76255006"
36209000,1,Chloasma,Clinical finding,"121000119106,238698004"
238748009,1,Sebaceous hyperplasia,Clinical finding,106076001
3441005,1,Disorder of sebaceous gland,Clinical finding,238714008
280134004,1,Disorder of soft tissue of limb,Clinical finding,"128605003,19660004"
312902008,1,Macular pseudohole,Clinical finding,"312999006,367649002"
417563003,1,Lacrimal sac granuloma,Clinical finding,"432525007,85777005"
2032001,1,Cerebral edema,Clinical finding,"118654009,81308009"
30704002,1,Butterfly rash,Clinical finding,"106076001,714974000,767811005"
276464002,1,Injury of anus,Clinical finding,"32110003,47771009,6923002"
225477000,1,Sexually abusive behavior,Clinical finding,"225481000,53763004"
286917001,1,Hypergonadism,Clinical finding,"127345001,83649006"
231834005,1,Malignant melanoma of eyelid,Clinical finding,"231829006,269578002"
27034006,1,Fertility problem,Clinical finding,118183008
74351001,1,Reye's syndrome,Clinical finding,472916000
